artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Celestine Ukwu & His Philosophers National,Celestine Ukwu & His Philosophers National,Na Nchekwube Mma Anyi Egbuna Anyi,6juKcgi75Q5uFWDyAZr1Mq,0.45,0.622,0,-5.849,1,0.0411,9.93e-06,0.138,0.738,179.203,377640,3
T. P. Orchestre Poly-Rythmo,The Kings of Benin Urban Groove 1972 - 80,Gendamou Na Wili We Gnannin,3YLHbTeEBFvEBWZQATebxE,0.654,0.61,5,-9.846,0,0.0485,0.00719,0.0843,0.953,87.433,372347,4
Marijata,This Is Marijata,I Walk Alone,6sVm6ik1mXyXlDFexORZpQ,0.565,0.433,4,-14.97,0,0.0393,0.225,0.0909,0.746,137.269,644440,4
Various Artists,"Golden Afrique, vol. 1 (Bolibana Collection)",Thiely,2QbgkbCilqYgE7uItsTmf0,0.813,0.566,1,-6.986,0,0.0588,6.55e-06,0.173,0.957,147.427,249627,4
Various Artists,"Golden Afrique, vol. 1 (Bolibana Collection)",Yaye Boye,5acvGp7BKrh2pFw8WpgYNi,0.604,0.416,1,-8.559,0,0.0405,0.2,0.107,0.609,91.036,296000,4
Various Artists,"Golden Afrique, vol. 1 (Bolibana Collection)",Aliou Gori mami,50jSYlNMwilk4CIFdpbdW2,0.559,0.555,2,-8.216,1,0.0757,0.0139,0.0978,0.578,164.768,157600,4
Various Artists,"Golden Afrique, vol. 1 (Bolibana Collection)",Paulette,3wk6pA4h3qNG43832erOPu,0.766,0.584,4,-8.827,0,0.0331,0.00238,0.188,0.925,132.467,462600,4
Various Artists,Angola - The greatest songs from the 60's and the 70's,Minha Sobrinha,1OyHLrqxIARlMkt2QsG7iJ,0.665,0.808,8,-4.688,0,0.0371,0.000349,0.214,0.844,91.215,195640,4
Fela Kuti,Expensive Shit,Water No Get Enemy,6jzbUvXYVbH6NrUS3WRMoL,0.641,0.93,10,-7.544,0,0.0528,0.0397,0.109,0.902,90.805,660480,4
Etoile De Dakar,Volume 4 - Khaley Etoile,Youssou,0sYqxDJTDEDHPPZqY3lmWE,0.631,0.666,0,-6.901,0,0.0705,0.00326,0.0474,0.957,148.733,464827,4
